,RESPONSEID,MAINBRANCH,EMPLOYMENT,COUNTRY,USSTATE,UKCOUNTRY,EDLEVEL,AGE1STCODE,LEARNCODE,YEARSCODE,YEARSCODEPRO,DEVTYPE,ORGSIZE,CURRENCY,COMPTOTAL,COMPFREQ,LANGUAGEHAVEWORKEDWITH,LANGUAGEWANTTOWORKWITH,DATABASEHAVEWORKEDWITH,DATABASEWANTTOWORKWITH,PLATFORMHAVEWORKEDWITH,PLATFORMWANTTOWORKWITH,WEBFRAMEHAVEWORKEDWITH,WEBFRAMEWANTTOWORKWITH,MISCTECHHAVEWORKEDWITH,MISCTECHWANTTOWORKWITH,TOOLSTECHHAVEWORKEDWITH,TOOLSTECHWANTTOWORKWITH,NEWCOLLABTOOLSHAVEWORKEDWITH,NEWCOLLABTOOLSWANTTOWORKWITH,OPSYS,NEWSTUCK,NEWSOSITES,SOVISITFREQ,SOACCOUNT,SOPARTFREQ,SOCOMM,NEWOTHERCOMMS,AGE,GENDER,TRANS,SEXUALITY,ETHNICITY,ACCESSIBILITY,MENTALHEALTH,SURVEYLENGTH,SURVEYEASE,CONVERTEDCOMPYEARLY,AYUDA
13147,13148,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Books / Physical media,30,11,"Developer, mobile",20 to 99 employees,EUR European Euro,,Monthly,Objective-C;PHP;Ruby;SQL;Swift,Objective-C;Ruby;SQL;Swift,MySQL;SQLite,MongoDB;MySQL;SQLite,,,,,,,Git,Git,Sublime Text;Visual Studio Code;Xcode,Sublime Text;Visual Studio Code;Xcode,MacOS,Google it,Stack Overflow,A few times per week,False,,"No, not really",No,35-44 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,,Google it Stack Overflow
13165,13166,I am a developer by profession,Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",18 - 24 years,Books / Physical media,8,5,"Developer, full-stack",I don’t know,EUR European Euro,42000.0,Yearly,HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,C;C++;Python,MySQL;Oracle;PostgreSQL,Firebase;MongoDB,Heroku;Microsoft Azure,,Angular;Angular.js;Express;jQuery;React.js;Spring,React.js;Vue.js,,,Docker;Git;Kubernetes,Kubernetes,Android Studio;Eclipse;Notepad++;Visual Studio Code,,Windows,Visit Stack Overflow,Stack Overflow,Daily or almost daily,True,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Easy,45401.0,Visit Stack Overflow Stack Overflow
13191,13192,I am a student who is learning to code,"Not employed, but looking for work",ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,5,,"Developer, mobile;Developer, desktop or enterprise applications;Developer, back-end;Student;Developer, game or graphics",,,,,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;Python;Rust;TypeScript,Firebase;MongoDB;MySQL;Oracle,MongoDB;MySQL;Redis,DigitalOcean;Heroku,AWS,Angular;Spring,Angular;ASP.NET;ASP.NET Core ;Django;Spring;Vue.js,NumPy,.NET Framework;.NET Core / .NET 5;React Native,Docker;Git;Unity 3D,Docker;Git;Kubernetes;Unity 3D,Android Studio;IntelliJ;PyCharm;Visual Studio;Visual Studio Code,Android Studio;IntelliJ;Visual Studio;Visual Studio Code,Windows Subsystem for Linux (WSL),Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,True,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too short,Easy,,Visit Stack Overflow;Google it;Watch help / tutorial videos Stack Overflow;Stack Exchange
13204,13205,I am a developer by profession,Employed full-time,ESPAÑA,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,School;Online Courses or Certification;Books / Physical media,15,12,"Developer, back-end;DevOps specialist;System administrator",20 to 99 employees,EUR European Euro,3000.0,Monthly,HTML/CSS;Java;JavaScript;PHP;SQL,PHP;SQL,Elasticsearch;MariaDB;MongoDB;Redis,Elasticsearch;MongoDB;Redis,Microsoft Azure,Google Cloud Platform,jQuery;Laravel,Symfony,,,Ansible;Git;Kubernetes,Ansible;Git;Kubernetes;Terraform,Eclipse;Sublime Text;Vim,Sublime Text;Vim,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,True,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent;Multiracial;East Asian,None of the above,None of the above,Appropriate in length,Easy,38916.0,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos Stack Overflow;Stack Exchange
13216,13217,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification",10,3,"Developer, full-stack;Data scientist or machine learning specialist;Academic researcher",100 to 499 employees,EUR European Euro,30000.0,Yearly,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;SQL,Microsoft SQL Server;MySQL;SQLite,MongoDB;MySQL;SQLite,,,jQuery;Laravel,Django;Laravel;React.js,Keras;NumPy;Pandas;TensorFlow,Keras;NumPy;Pandas;TensorFlow,Git,Docker;Git,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,True,Daily or almost daily,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,32429.0,Visit Stack Overflow;Google it;Watch help / tutorial videos Stack Overflow;Stack Exchange
13254,13255,I am a developer by profession,Employed full-time,ESPAÑA,,,"Other doctoral degree (Ph.D., Ed.D., etc.)",35 - 44 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",15,15,"Engineer, data;Developer, back-end",100 to 499 employees,EUR European Euro,75000.0,Yearly,Bash/Shell;Python;Scala;SQL,Kotlin;Scala,Elasticsearch;MySQL,Elasticsearch;PostgreSQL,AWS;Google Cloud Platform,AWS;Google Cloud Platform,,,Apache Spark,Apache Spark,Ansible;Docker;Git;Kubernetes,Ansible;Docker;Git;Kubernetes;Terraform,IntelliJ;IPython/Jupyter;Vim;Visual Studio Code,IntelliJ;Vim;Visual Studio Code,MacOS,Call a coworker or friend;Go for a walk or other physical activity;Google it,Stack Overflow,A few times per month or weekly,True,Less than once per month or monthly,Neutral,Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,81074.0,Call a coworker or friend;Go for a walk or other physical activity;Google it Stack Overflow
13263,13264,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Coding Bootcamp;Other (please specify):;Books / Physical media,27,15,"Developer, back-end",100 to 499 employees,EUR European Euro,60000.0,Yearly,Java;Scala;SQL;TypeScript,Java;Kotlin;Scala,Cassandra;Elasticsearch;Oracle,Elasticsearch;PostgreSQL;Redis,,,Angular;Spring,Spring,,,Docker;Git;Kubernetes;Yarn,Docker;Git;Kubernetes;Terraform,IntelliJ,IntelliJ,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Meditate;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,True,A few times per month or weekly,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,64859.0,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Meditate;Play games Stack Overflow;Stack Exchange
13283,13284,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",12,10,"Developer, back-end;Engineer, site reliability",100 to 499 employees,EUR European Euro,65000.0,Yearly,Go;JavaScript,Go,PostgreSQL;Redis,Cassandra;PostgreSQL;Redis,AWS;Google Cloud Platform,Google Cloud Platform,,,,,Docker;Git;Kubernetes;Terraform;Yarn,Docker;Git;Kubernetes;Terraform,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,MacOS,Call a coworker or friend;Google it;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per week,True,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,Prefer not to say,Too short,Easy,70264.0,Call a coworker or friend;Google it;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name): Stack Overflow;Stack Exchange
13332,13333,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,Colleague,8,3,"Developer, full-stack","10,000 or more employees",EUR European Euro,34000.0,Yearly,HTML/CSS;JavaScript;TypeScript,Go;HTML/CSS;JavaScript;TypeScript,MySQL;PostgreSQL;SQLite,Cassandra;MySQL;PostgreSQL;SQLite,Heroku,AWS;Heroku,Express;React.js,Angular;Express;React.js;Vue.js,,,Docker,Deno;Docker;Terraform,Visual Studio Code,Vim;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Stack Overflow;Stack Exchange,Daily or almost daily,True,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,36753.0,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity Stack Overflow;Stack Exchange
13361,13362,I am a developer by profession,"Not employed, but looking for work",ESPAÑA,,,"Professional degree (JD, MD, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",4,,"Developer, back-end;Developer, game or graphics",,,,,Java;SQL,Java;Kotlin;Rust,Microsoft SQL Server;MongoDB;Redis,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Microsoft Azure,AWS;DigitalOcean;IBM Cloud or Watson,Spring,Angular;Angular.js;Spring,,,Docker;Git;Kubernetes,Docker;Git;Kubernetes,Eclipse;IntelliJ;NetBeans,Android Studio;Eclipse;IntelliJ,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,True,A few times per month or weekly,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too short,Easy,,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name): Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
13373,13374,I am a developer by profession,Employed full-time,ESPAÑA,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",15,10,"Developer, back-end;Database administrator;System administrator",10 to 19 employees,EUR European Euro,30000.0,Yearly,HTML/CSS;JavaScript;PHP,Go;PHP;Python,Elasticsearch;MongoDB;MySQL;Redis,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Microsoft Azure,AWS,,,,,Docker;Git,Ansible;Docker;Git;Kubernetes;Terraform,Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,A few times per week,False,,"No, not at all",No,25-34 years old,Man,No,,White or of European descent,,,Too short,Easy,32429.0,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later Stack Overflow
13530,13531,I am a developer by profession,Employed full-time,ESPAÑA,,,"Professional degree (JD, MD, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",5,4,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator",10 to 19 employees,EUR European Euro,36000.0,Yearly,JavaScript;Node.js;SQL;TypeScript,,Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,AWS;Google Cloud Platform;Microsoft Azure,,Angular;Angular.js;Express;jQuery;React.js,,,,Docker;Git,Deno;Kubernetes,Visual Studio Code,,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,True,A few times per week,"Yes, somewhat",No,18-24 years old,Man,No,Bisexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Too long,Easy,38915.0,Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic Stack Overflow;Stack Exchange
13632,13633,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Friend or family member;Colleague,8,3,"Developer, back-end;System administrator","10,000 or more employees",EUR European Euro,35000.0,Yearly,C++;Go;Perl;Python,Go;Perl;Python,DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;Redis;SQLite,Elasticsearch;MariaDB;MongoDB,AWS;DigitalOcean;Google Cloud Platform;Heroku,AWS;DigitalOcean;Google Cloud Platform,Django;FastAPI;Flask,FastAPI,,,Ansible;Docker;Git;Kubernetes;Terraform,Ansible;Docker;Git;Kubernetes;Terraform,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,True,A few times per week,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,37834.0,Call a coworker or friend;Visit Stack Overflow;Google it;Play games Stack Overflow;Stack Exchange
13650,13651,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School;Colleague,9,5,"Developer, mobile;Developer, full-stack;Data scientist or machine learning specialist;Data or business analyst",100 to 499 employees,EUR European Euro,35000.0,Yearly,HTML/CSS;Java;JavaScript;Node.js;Python;Scala;SQL;TypeScript,C++,Elasticsearch;Microsoft SQL Server;MySQL,,Microsoft Azure,Google Cloud Platform,Angular;Angular.js;jQuery;Spring,,Apache Spark;Hadoop;NumPy;TensorFlow;Torch/PyTorch,,Ansible;Docker;Git;Kubernetes,,IntelliJ;NetBeans;Notepad++;PyCharm;Visual Studio Code,,Windows,Call a coworker or friend;Go for a walk or other physical activity;Google it,Stack Overflow,A few times per month or weekly,True,I have never participated in Q&A on Stack Overflow,"No, not at all",No,25-34 years old,Man,No,Straight / Heterosexual;Bisexual,Hispanic or Latino/a/x,None of the above,I have a concentration and/or memory disorder (e.g. ADHD);I have an anxiety disorder,Too long,Easy,37834.0,Call a coworker or friend;Go for a walk or other physical activity;Google it Stack Overflow
13651,13652,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague;Books / Physical media",8,6,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;System administrator","10,000 or more employees",EUR European Euro,17000.0,Yearly,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET Core ;jQuery;React.js,ASP.NET;ASP.NET Core ,.NET Framework;.NET Core / .NET 5;React Native,.NET Framework;.NET Core / .NET 5,Git,Git,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,True,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Prefer not to say,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,18377.0,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later Stack Overflow;Stack Exchange
13681,13682,I am a developer by profession,Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",5,3,"Developer, back-end",20 to 99 employees,EUR European Euro,25000.0,Yearly,JavaScript;Node.js;TypeScript,Clojure;Elixir;Erlang;Go;JavaScript;LISP;Node.js;Python;Ruby;Rust;TypeScript,MongoDB;MySQL;Redis,Cassandra;DynamoDB;Elasticsearch;Firebase;MariaDB;MongoDB;PostgreSQL;Redis,AWS;Heroku,AWS;Google Cloud Platform;Heroku,Express;React.js,Django;Express;Flask;React.js;Ruby on Rails;Svelte;Vue.js,,,Docker;Git;Yarn,Docker;Git;Kubernetes;Terraform;Unity 3D;Unreal Engine,Visual Studio Code;Webstorm,Visual Studio Code,Windows,Call a coworker or friend;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Less than once per month or monthly,True,Less than once per month or monthly,"No, not really",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,27025.0,Call a coworker or friend;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games Stack Overflow;Stack Exchange
13706,13707,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,10,8,"Developer, back-end;Data or business analyst","10,000 or more employees",EUR European Euro,90000.0,Yearly,Java,Python;Scala;SQL,Oracle;PostgreSQL,Microsoft SQL Server;MongoDB;MySQL;Redis,AWS;Oracle Cloud Infrastructure,Microsoft Azure,jQuery;Spring,Flask,Pandas,Apache Spark;Hadoop,Git,Git;Kubernetes,Eclipse;IntelliJ;Notepad++,IntelliJ;Notepad++,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,True,A few times per week,Neutral,No,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Easy,97288.0,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos Stack Overflow
13718,13719,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5 - 10 years,Online Forum;Books / Physical media,18,2,"Developer, front-end",10 to 19 employees,EUR European Euro,2000.0,Monthly,Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python,,Firebase,,Google Cloud Platform;Microsoft Azure,,jQuery,,.NET Framework,,Git,,Android Studio;Visual Studio;Visual Studio Code,,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,Multiple times per day,True,Multiple times per day,"Yes, definitely",No,25-34 years old,"Non-binary, genderqueer, or gender non-conforming",No,Prefer to self-describe:,"Or, in your own words:",None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Too long,Easy,25944.0,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate Stack Overflow;Stack Exchange
13742,13743,I am a developer by profession,Employed full-time,ESPAÑA,,,"Professional degree (JD, MD, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",4,2,"Developer, mobile;Developer, front-end;Developer, full-stack",20 to 99 employees,EUR European Euro,19500.0,Yearly,HTML/CSS;Java;SQL,HTML/CSS;Java;Kotlin;Node.js;SQL;Swift,MySQL;SQLite,MongoDB;MySQL;SQLite,AWS,AWS,,,,,Git,Docker;Flow;Git;Kubernetes;Unity 3D;Unreal Engine,Android Studio;Notepad++;Sublime Text;Visual Studio,Android Studio;Sublime Text;Visual Studio,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games,Stack Overflow,Daily or almost daily,,,"No, not really",No,18-24 years old,Man,No,Bisexual,White or of European descent,None of the above,"Or, in your own words:",Appropriate in length,Neither easy nor difficult,21079.0,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games Stack Overflow
13777,13778,I am a developer by profession,Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc)",6,4,"Developer, QA or test;Data or business analyst","10,000 or more employees",EUR European Euro,45000.0,Yearly,Python;Scala,Python;Scala,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,,,Apache Spark,Apache Spark,Ansible,Ansible,IntelliJ;Notepad++;PyCharm,IntelliJ;Notepad++;PyCharm,Linux-based,Google it,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per week,False,,"Yes, somewhat",No,25-34 years old,Woman,No,,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,48644.0,Google it Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
13793,13794,I am a developer by profession,Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",17,6,"Developer, mobile",20 to 99 employees,EUR European Euro,33000.0,Yearly,Dart;Java;Kotlin;TypeScript,Dart;Kotlin,Firebase;MySQL;SQLite,Firebase;SQLite,,,Express;React.js,,Flutter,Flutter,Git;Unreal Engine;Yarn,Git;Unreal Engine,Android Studio;Eclipse;IntelliJ;Vim;Visual Studio Code,Android Studio;IntelliJ;Vim;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,A few times per week,True,Less than once per month or monthly,"No, not at all",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,,,Appropriate in length,Easy,35672.0,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Play games Stack Overflow;Stack Exchange
13807,13808,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",6,4,"Developer, mobile;Developer, full-stack;Student",20 to 99 employees,EUR European Euro,25000.0,Yearly,Dart;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Dart;Go;Kotlin;PHP;SQL;TypeScript,Firebase;MariaDB;Microsoft SQL Server;MySQL,Firebase;MariaDB;Microsoft SQL Server;MySQL,,,Angular;jQuery;Laravel,Angular;Laravel,Flutter,Flutter,Git,Docker;Git,Android Studio;Notepad++;PHPStorm;Sublime Text;Visual Studio Code,Android Studio;IntelliJ;PHPStorm;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Multiple times per day,True,Multiple times per day,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,,None of the above,Appropriate in length,Easy,27025.0,Visit Stack Overflow;Go for a walk or other physical activity;Google it Stack Overflow;Stack Exchange
13958,13959,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Online Courses or Certification;Books / Physical media,20,13,"Developer, front-end;Developer, full-stack;Developer, back-end","10,000 or more employees",EUR European Euro,47500.0,Yearly,C#;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MySQL;Oracle;Redis;SQLite,DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;Redis;SQLite,AWS;Google Cloud Platform;Microsoft Azure,AWS;Microsoft Azure,Angular;ASP.NET;ASP.NET Core ;jQuery,Angular;ASP.NET;ASP.NET Core ;React.js,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5;Flutter;React Native,Docker;Git;Kubernetes,Docker;Git;Kubernetes;Xamarin,Notepad++;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,True,Less than once per month or monthly,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,51347.0,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos Stack Overflow;Stack Exchange
13971,13972,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,School,7,5,"Developer, mobile;Developer, front-end;Developer, full-stack",10 to 19 employees,EUR European Euro,38000.0,Monthly,C;HTML/CSS;JavaScript;Node.js;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,Firebase;MongoDB;PostgreSQL;Redis,Firebase;MongoDB;PostgreSQL,AWS;Google Cloud Platform;Heroku,AWS;Google Cloud Platform,Express;React.js;Ruby on Rails,Express;React.js;Vue.js,React Native,React Native,Docker;Git,Docker;Git;Unity 3D;Unreal Engine,Android Studio;Visual Studio Code;Xcode,Android Studio;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Stack Overflow,Daily or almost daily,True,Less than once per month or monthly,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,492924.0,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later Stack Overflow
13982,13983,I am a student who is learning to code,"Student, full-time",ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,7,,,,,,,Assembly;Bash/Shell;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL;TypeScript,C++;HTML/CSS;Java;JavaScript,DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL,MySQL;PostgreSQL,AWS,AWS,jQuery;React.js,,,,Docker;Git,Git,Android Studio;Eclipse;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Eclipse;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Windows,Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,A few times per month or weekly,True,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,,Appropriate in length,Easy,,Google it;Watch help / tutorial videos;Do other work and come back later;Play games Stack Overflow
